"Phytophthora","Host","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Platanus orientalis","Southern America",2,NA
"P. cinnamomi","Platanus racemosa","Northern America",2,NA
"P. cinnamomi","Platanus × hispanica","Europe",6,NA
"P. cinnamomi","Platylobium obtusangulum","Australasia",3,NA
"P. cinnamomi","Platysace compressa","Australasia",2,NA
"P. cinnamomi","Podocarpus drouynianus","Australasia",3,NA
"P. cinnamomi","Podocarpus macrophyllus","Australasia",1,NA
"P. cinnamomi","Podocarpus salignus","Australasia",1,NA
"P. cinnamomi","Podotheca angustifolia","Australasia",2,NA
"P. cinnamomi","Polystichum munitum","Northern America",4,NA
"P. cinnamomi","Pomaderris apetala","Australasia",2,NA
"P. cinnamomi","Protea aurea","Africa",6,NA
"P. cinnamomi","Protea aurea","Australasia",2,NA
"P. cinnamomi","Protea burchellii","Africa",2,NA
"P. cinnamomi","Protea caffra","Africa",2,NA
"P. cinnamomi","Protea compacta","Africa",2,NA
"P. cinnamomi","Protea cynaroides","Africa",6,NA
"P. cinnamomi","Protea cynaroides","Northern America",3,NA
"P. cinnamomi","Protea cynaroides","Pacific",3,NA
"P. cinnamomi","Protea effusa","Africa",6,NA
"P. cinnamomi","Protea eximia","Africa",2,NA
"P. cinnamomi","Protea grandiceps","Africa",4,NA
"P. cinnamomi","Protea lanceolata","Africa",4,NA
"P. cinnamomi","Protea laurifolia","Africa",2,NA
"P. cinnamomi","Protea laurifolia","Australasia",2,NA
"P. cinnamomi","Protea lepidocarpodendron","Africa",6,NA
"P. cinnamomi","Protea longifolia","Africa",4,NA
"P. cinnamomi","Protea lorifolia","Africa",2,NA
"P. cinnamomi","Protea magnifica","Africa",8,NA
"P. cinnamomi","Protea magnifica","Australasia",2,NA
"P. cinnamomi","Protea mundii","Africa",2,NA
"P. cinnamomi","Protea mundii","Australasia",2,NA
"P. cinnamomi","Protea nana","Africa",4,NA
"P. cinnamomi","Protea neriifolia","Africa",4,NA
"P. cinnamomi","Protea neriifolia","Australasia",3,NA
"P. cinnamomi","Protea neriifolia","Northern America",4,NA
"P. cinnamomi","Protea nitida","Africa",8,NA
"P. cinnamomi","Protea obtusifolia","Africa",2,NA
"P. cinnamomi","Protea obtusifolia","Northern America",4,NA
"P. cinnamomi","Protea punctata","Africa",4,NA
"P. cinnamomi","Protea reflexa","Africa",1,NA
"P. cinnamomi","Protea repens","Africa",2,NA
"P. cinnamomi","Protea repens","Australasia",3,NA
"P. cinnamomi","Protea roupelliae","Africa",6,NA
"P. cinnamomi","Protea susannae","Africa",4,NA
"P. cinnamomi","Prunus americana","Australasia",1,NA
"P. cinnamomi","Prunus americana","Northern America",4,NA
"P. cinnamomi","Prunus armeniaca","Australasia",2,NA
"P. cinnamomi","Prunus armeniaca","Northern America",2,NA
"P. cinnamomi","Prunus avium","Europe",2,NA
"P. cinnamomi","Prunus avium","Northern America",2,NA
"P. cinnamomi","Prunus persica","Africa",2,NA
"P. cinnamomi","Prunus persica","Australasia",13,NA
"P. cinnamomi","Prunus persica","Northern America",1,NA
"P. cinnamomi","Pseudopanax crassifolius","Australasia",4,NA
"P. cinnamomi","Pseudotsuga menziesii","Australasia",28,NA
"P. cinnamomi","Pseudotsuga menziesii","Europe",1,NA
"P. cinnamomi","Pseudotsuga menziesii","Northern America",7,NA
"P. cinnamomi","Psidium cattleianum","Northern America",1,NA
"P. cinnamomi","Psidium cattleianum","Pacific",1,NA
"P. cinnamomi","Psychotria hawaiiensis","Pacific",1,NA
"P. cinnamomi","Pteris ensiformis","Northern America",2,NA
"P. cinnamomi","Pterochaeta paniculata","Australasia",5,NA
"P. cinnamomi","Pterophylla racemosa","Australasia",1,NA
"P. cinnamomi","Pultenaea daphnoides","Australasia",4,NA
"P. cinnamomi","Pultenaea gunnii","Australasia",3,NA
"P. cinnamomi","Pultenaea humilis","Australasia",2,NA
"P. cinnamomi","Pultenaea involucrata","Australasia",2,NA
"P. cinnamomi","Pultenaea juniperina","Australasia",1,NA
"P. cinnamomi","Pultenaea pedunculata","Australasia",2,NA
"P. cinnamomi","Pultenaea reticulata","Australasia",2,NA
"P. cinnamomi","Pultenaea stricta","Australasia",1,NA
"P. cinnamomi","Pyrus communis","Africa",4,NA
"P. cinnamomi","Pyrus communis","Australasia",5,NA
"P. cinnamomi","Pyrus communis","Northern America",3,NA
"P. cinnamomi","Quercus agrifolia","Northern America",12,NA
"P. cinnamomi","Quercus alba","Northern America",13,NA
"P. cinnamomi","Quercus bicolor","Northern America",1,NA
"P. cinnamomi","Quercus cerris","Africa",5,NA
"P. cinnamomi","Quercus cerris","Australasia",2,NA
"P. cinnamomi","Quercus cerris","Europe",2,NA
"P. cinnamomi","Quercus championii","Asia-Temperate",5,NA
"P. cinnamomi","Quercus faginea","Europe",1,NA
"P. cinnamomi","Quercus frainetto","Europe",4,NA
"P. cinnamomi","Quercus glauca","Asia-Temperate",1,NA
"P. cinnamomi","Quercus glaucoides","Northern America",2,NA
"P. cinnamomi","Quercus ilex","Europe",37,NA
"P. cinnamomi","Quercus laurifolia","Northern America",3,NA
"P. cinnamomi","Quercus laurina","Northern America",1,NA
"P. cinnamomi","Quercus longinux","Asia-Temperate",1,NA
"P. cinnamomi","Quercus michauxii","Northern America",2,NA
"P. cinnamomi","Quercus montana","Northern America",4,NA
"P. cinnamomi","Quercus morii","Asia-Temperate",4,NA
"P. cinnamomi","Quercus peduncularis","Northern America",2,NA
"P. cinnamomi","Quercus petraea","Asia-Temperate",2,NA
"P. cinnamomi","Quercus pubescens","Europe",1,NA
"P. cinnamomi","Quercus pyrenaica","Europe",2,NA
"P. cinnamomi","Quercus robur","Australasia",1,NA
"P. cinnamomi","Quercus robur","Europe",24,NA
"P. cinnamomi","Quercus robur","Northern America",2,NA
"P. cinnamomi","Quercus rubra","Europe",150,NA
"P. cinnamomi","Quercus rubra","Northern America",7,NA
"P. cinnamomi","Quercus salicifolia","Northern America",1,NA
"P. cinnamomi","Quercus serrata","Asia-Temperate",1,NA
"P. cinnamomi","Quercus sessifolia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus sessilifolia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus stenophylloides","Asia-Temperate",3,NA
"P. cinnamomi","Quercus suber","Europe",45,NA
"P. cinnamomi","Quercus suber","Northern America",8,NA
"P. cinnamomi","Quercus variabilis","Asia-Temperate",2,NA
"P. cinnamomi","Quercus velutina","Northern America",1,NA
"P. cinnamomi","Rhamnus alaternus","Europe",3,NA
"P. cinnamomi","Rhaphiolepis indica","Australasia",2,NA
"P. cinnamomi","Rhododendron adenogynum","Europe",1,NA
"P. cinnamomi","Rhododendron catawbiense","Europe",2,NA
"P. cinnamomi","Rhododendron catawbiense","Northern America",4,NA
"P. cinnamomi","Rhododendron columbianum","Australasia",1,NA
"P. cinnamomi","Rhododendron impeditum","Europe",3,NA
"P. cinnamomi","Rhododendron indicum","Australasia",5,NA
"P. cinnamomi","Rhododendron japonoheptamerum","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron lapponicum","Asia-Temperate",1,NA
"P. cinnamomi","Rhododendron macrophyllum","Northern America",4,NA
"P. cinnamomi","Rhododendron makinoi","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron maximum","Northern America",1,NA
"P. cinnamomi","Rhododendron minus","Northern America",9,NA
"P. cinnamomi","Rhododendron mucronatum","Northern America",4,NA
"P. cinnamomi","Rhododendron mucronulatum","Northern America",2,NA
"P. cinnamomi","Rhododendron occidentale","Northern America",2,NA
"P. cinnamomi","Rhododendron ponticum","Northern America",19,NA
"P. cinnamomi","Rhododendron ponticum",NA,1,NA
"P. cinnamomi","Rhododendron pseudochrysanthum","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron simsii","Europe",6,NA
"P. cinnamomi","Rhododendron tomentosum","Australasia",2,NA
"P. cinnamomi","Rhododendron tomentosum","Europe",1,NA
"P. cinnamomi","Rhododendron yakushimanum","Asia-Temperate",1,NA
"P. cinnamomi","Rhododendron yakushimanum","Europe",3,NA
"P. cinnamomi","Rhododendron × hybridum","Asia-Temperate",1,NA
"P. cinnamomi","Rhododendron × hybridum","Europe",1,NA
"P. cinnamomi","Richardia brasiliensis","Northern America",1,NA
"P. cinnamomi","Richardia brasiliensis","Pacific",1,NA
"P. cinnamomi","Richardia scabra","Northern America",1,NA
"P. cinnamomi","Richardia scabra","Pacific",1,NA
"P. cinnamomi","Ricinocarpos pinifolius","Australasia",1,NA
"P. cinnamomi","Ricinus communis","Northern America",1,NA
"P. cinnamomi","Ricinus communis","Pacific",1,NA
"P. cinnamomi","Robinia pseudoacacia","Asia-Temperate",4,NA
"P. cinnamomi","Robinia pseudoacacia","Northern America",3,NA
"P. cinnamomi","Rubus idaeus","Australasia",15,NA
"P. cinnamomi","Rubus rosifolius","Northern America",1,NA
"P. cinnamomi","Rubus rosifolius","Pacific",1,NA
"P. cinnamomi","Rytidosperma caespitosum","Australasia",2,NA
"P. cinnamomi","Salvia officinalis","Australasia",1,NA
"P. cinnamomi","Salvia rosmarinus","Australasia",5,NA
"P. cinnamomi","Sarracenia alata","Europe",1,NA
"P. cinnamomi","Saxegothaea conspicua","Southern America",4,NA
"P. cinnamomi","Scaevola albida","Australasia",1,NA
"P. cinnamomi","Sciadopitys verticillata","Australasia",4,NA
"P. cinnamomi","Sciadopitys verticillata","Europe",1,NA
"P. cinnamomi","Sciadopitys verticillata","Northern America",1,NA
"P. cinnamomi","Senna pleurocarpa","Australasia",1,NA
"P. cinnamomi","Sequoia sempervirens","Australasia",2,NA
"P. cinnamomi","Sequoia sempervirens","Europe",2,NA
"P. cinnamomi","Sequoiadendron giganteum","Australasia",2,"Yes"
"P. cinnamomi","Serruria florida","Africa",4,NA
"P. cinnamomi","Serruria florida","Australasia",8,NA
"P. cinnamomi","Serruria kraussii","Africa",2,NA
"P. cinnamomi","Siloxerus multiflorus","Australasia",2,NA
"P. cinnamomi","Solanum lycopersicum","Pacific",1,NA
"P. cinnamomi","Solanum lycopersicum","Southern America",2,NA
"P. cinnamomi","Solanum maglia","Northern America",1,NA
"P. cinnamomi","Solanum tuberosum","Northern America",1,NA
"P. cinnamomi","Sophora chrysophylla","Northern America",1,NA
"P. cinnamomi","Sophora chrysophylla","Pacific",1,NA
"P. cinnamomi","Sorbus commixta","Asia-Temperate",2,NA
"P. cinnamomi","Sphenotoma squarrosa","Australasia",1,NA
"P. cinnamomi","Sphenotoma squarrosum","Australasia",1,NA
"P. cinnamomi","Sprengelia incarnata","Australasia",4,NA
"P. cinnamomi","Stenanthera pinifolia","Australasia",1,NA
"P. cinnamomi","Stirlingia tenuifolia","Australasia",1,NA
"P. cinnamomi","Stylidium diuroides","Australasia",8,NA
"P. cinnamomi","Stylidium graminifolium","Australasia",1,NA
"P. cinnamomi","Styphelia ericoides","Australasia",3,NA
"P. cinnamomi","Styphelia humifusa","Australasia",1,NA
"P. cinnamomi","Symphytum × uplandicum","Australasia",1,NA
"P. cinnamomi","Syncarpia glomulifera","Australasia",1,NA
"P. cinnamomi","Syzygium aromaticum","Asia-Tropical",2,NA
"P. cinnamomi","Syzygium bamagense","Australasia",1,NA
"P. cinnamomi","Syzygium smithii","Australasia",4,NA
"P. cinnamomi","Tabebuia heterophylla","Europe",2,NA
"P. cinnamomi","Tanacetum cinerariifolium",NA,2,NA
"P. cinnamomi","Tasmannia lanceolata","Australasia",2,"Yes"
"P. cinnamomi","Tasmannia purpurascens","Australasia",2,NA
"P. cinnamomi","Taxus baccata","Australasia",4,"Yes"
"P. cinnamomi","Taxus baccata","Europe",10,"Yes"
"P. cinnamomi","Taxus baccata","Northern America",4,"Yes"
"P. cinnamomi","Taxus cuspidata","Northern America",6,NA
"P. cinnamomi","Taxus × media","Northern America",2,NA
"P. cinnamomi","Tecomaria capensis","Australasia",2,NA
"P. cinnamomi","Telopea speciosissima","Africa",4,NA
"P. cinnamomi","Telopea speciosissima","Australasia",9,NA
"P. cinnamomi","Tetratheca ciliata","Australasia",2,NA
"P. cinnamomi","Tetratheca hirsuta","Australasia",2,NA
"P. cinnamomi","Tetratheca labillardierei","Australasia",1,NA
"P. cinnamomi","Tetratheca pilosa","Australasia",2,NA
"P. cinnamomi","Tetratheca procumbens","Australasia",1,NA
"P. cinnamomi","Thomasia grandiflora","Australasia",2,NA
"P. cinnamomi","Thomasia pauciflora","Australasia",2,NA
"P. cinnamomi","Thryptomene baeckeacea","Australasia",2,NA
"P. cinnamomi","Thryptomene calycina","Australasia",7,NA
"P. cinnamomi","Thryptomene micrantha","Australasia",1,NA
"P. cinnamomi","Thuja occidentalis","Africa",1,NA
"P. cinnamomi","Thuja occidentalis","Europe",1,NA
"P. cinnamomi","Thuja occidentalis","Northern America",6,NA
"P. cinnamomi","Thuja occidentalis","Pacific",2,NA
"P. cinnamomi","Thuja plicata","Europe",2,NA
"P. cinnamomi","Toona ciliata","Pacific",1,NA
"P. cinnamomi","Torreya nucifera","Asia-Temperate",2,NA
"P. cinnamomi","Trachymene pilosa","Australasia",2,NA
"P. cinnamomi","Trymalium ledifolium","Australasia",2,NA
"P. cinnamomi","Tsuga canadensis","Northern America",2,"Yes"
"P. cinnamomi","Tsuga heterophylla","Australasia",1,"Yes"
"P. cinnamomi","Ugni myricoides","Australasia",1,NA
"P. cinnamomi","Ulex europaeus","Australasia",1,NA
"P. cinnamomi","Umbellularia californica","Northern America",2,NA
"P. cinnamomi","Urostemon kirkii","Australasia",4,NA
"P. cinnamomi","Vaccinium corymbosum","Asia-Temperate",1,"Yes"
"P. cinnamomi","Vaccinium corymbosum","Australasia",17,"Yes"
"P. cinnamomi","Vaccinium corymbosum","Europe",9,"Yes"
"P. cinnamomi","Vaccinium corymbosum","Northern America",13,"Yes"
"P. cinnamomi","Vaccinium corymbosum","Southern America",6,"Yes"
"P. cinnamomi","Vaccinium formosum","Northern America",2,NA
"P. cinnamomi","Vaccinium macrocarpon","Northern America",2,NA
"P. cinnamomi","Vaccinium ovatum","Northern America",4,NA
"P. cinnamomi","Vernicia fordii","Northern America",4,NA
"P. cinnamomi","Veronica topiaria","Australasia",4,NA
"P. cinnamomi","Verticordia densiflora","Australasia",2,NA
"P. cinnamomi","Verticordia drummondii","Australasia",2,NA
"P. cinnamomi","Verticordia huegelii","Australasia",2,NA
"P. cinnamomi","Verticordia nitens","Australasia",2,NA
"P. cinnamomi","Verticordia plumosa","Australasia",2,NA
"P. cinnamomi","Viburnum cylindricum","Australasia",2,NA
"P. cinnamomi","Viburnum tinus","Australasia",1,NA
"P. cinnamomi","Viburnum tinus","Europe",2,NA
"P. cinnamomi","Vigna unguiculata","Australasia",6,NA
"P. cinnamomi","Viola uliginosa","Australasia",1,NA
"P. cinnamomi","Vitex lucens","Australasia",1,NA
"P. cinnamomi","Vitis riparia","Australasia",2,NA
"P. cinnamomi","Vitis rupestris","Australasia",6,NA
"P. cinnamomi","Vitis vinifera","Africa",18,NA
"P. cinnamomi","Vitis vinifera","Australasia",15,NA
"P. cinnamomi","Vitis vinifera","Europe",1,NA
"P. cinnamomi","Washingtonia filifera","Australasia",1,NA
"P. cinnamomi","Widdringtonia cedarbergensis","Africa",1,NA
"P. cinnamomi","Widdringtonia nodiflora","Africa",1,NA
"P. cinnamomi","Wodyetia bifurcata","Australasia",2,NA
"P. cinnamomi","Wollemia nobilis","Australasia",70,NA
"P. cinnamomi","Xanthomyrtus compacta","Northern America",4,NA
"P. cinnamomi","Xanthorrhoea australis","Australasia",8,NA
"P. cinnamomi","Xanthorrhoea gracilis","Australasia",2,NA
"P. cinnamomi","Xanthorrhoea johnsonii","Australasia",1,NA
"P. cinnamomi","Xanthorrhoea platyphylla","Australasia",1,NA
"P. cinnamomi","Xanthorrhoea preissii","Australasia",6,NA
"P. cinnamomi","Xanthorrhoea semiplana","Australasia",8,NA
"P. cinnamomi","Xeronema callistemon","Australasia",5,NA
"P. cinnamomi","Xerophyllum tenax","Northern America",1,NA
"P. cinnamomi","Xylomelum occidentale","Australasia",2,NA
"P. cinnamomi","Zamia furfuracea","Asia-Temperate",1,NA
"P. kernoviae","Agathis australis","Australasia",1,NA
"P. kernoviae","Annona cherimola","Australasia",20,NA
"P. kernoviae","Drimys winteri","Europe",1,NA
"P. kernoviae","Drimys winteri","Southern America",2,NA
"P. kernoviae","Fagus grandiflora","Australasia",1,NA
"P. kernoviae","Fagus grandiflora",NA,1,NA
"P. kernoviae","Ficus grandiflora","Australasia",1,NA
"P. kernoviae","Pectinopitys ferruginea","Australasia",1,NA
"P. kernoviae","Pinus radiata","Australasia",47,NA
"P. kernoviae","Rhododendron catawbiense","Australasia",1,NA
"P. kernoviae","Rhododendron ponticum","Europe",1,NA
"P. pinifolia","Pinus radiata","Southern America",22,NA
"P. pluvialis","Notholithocarpus densiflorus","Northern America",3,NA
"P. pluvialis","Pinus patula","Australasia",3,NA
"P. pluvialis","Pinus radiata","Australasia",202,NA
"P. pluvialis","Pseudotsuga menziesii","Australasia",16,"Yes"
"P. pluvialis","Pseudotsuga menziesii","Northern America",9,"Yes"
"P. pseudosyringae","Abies fraseri","Northern America",2,NA
"P. pseudosyringae","Acer pseudoplatanus","Europe",2,NA
"P. pseudosyringae","Aesculus hippocastanum","Europe",4,NA
"P. pseudosyringae","Alnus alnobetula","Europe",1,NA
"P. pseudosyringae","Alnus glutinosa","Europe",8,NA
"P. pseudosyringae","Alnus rubra","Northern America",1,NA
"P. pseudosyringae","Castanea dentata","Europe",2,NA
"P. pseudosyringae","Castanea sativa","Europe",9,NA
"P. pseudosyringae","Fagus sylvatica","Europe",28,"Yes"
"P. pseudosyringae","Fraxinus excelsior","Europe",7,NA
"P. pseudosyringae","Hedera helix","Europe",3,NA
"P. pseudosyringae","Ilex aquifolium","Europe",1,NA
"P. pseudosyringae","Laburnum anagyroides","Europe",1,NA
"P. pseudosyringae","Laburnum anagyroidis","Europe",1,NA
"P. pseudosyringae","Nothofagus alpina","Europe",1,NA
"P. pseudosyringae","Nothofagus obliqua","Europe",1,NA
"P. pseudosyringae","Nothofagus obliqua","Southern America",2,NA
"P. pseudosyringae","Notholithocarpus densiflorus","Northern America",5,NA
"P. pseudosyringae","Quercus agrifolia","Northern America",9,NA
"P. pseudosyringae","Quercus ilex","Europe",1,NA
"P. pseudosyringae","Quercus robur","Europe",18,NA
"P. pseudosyringae","Quercus rubra","Northern America",1,NA
"P. pseudosyringae","Tilia cordata","Europe",2,NA
"P. pseudosyringae","Umbellularia californica","Northern America",12,NA
"P. ramorum","Abies grandis","Northern America",3,NA
"P. ramorum","Abies magnifica","Northern America",2,NA
"P. ramorum","Abies procera","Europe",5,"Yes"
"P. ramorum","Acer macrophyllum","Northern America",4,NA
"P. ramorum","Adiantum aleuticum","Northern America",5,NA
"P. ramorum","Adiantum jordanii","Northern America",4,NA
"P. ramorum","Aesculus californica","Northern America",4,NA
"P. ramorum","Arbutus menziesii","Northern America",9,NA
"P. ramorum","Arbutus unedo","Europe",2,NA
"P. ramorum","Arctostaphylos glauca","Northern America",1,NA
"P. ramorum","Arctostaphylos hooveri","Northern America",1,NA
"P. ramorum","Arctostaphylos manzanita","Northern America",2,NA
"P. ramorum","Arctostaphylos montereyensis","Northern America",1,NA
"P. ramorum","Arctostaphylos morroensis","Northern America",1,NA
"P. ramorum","Arctostaphylos pilosula","Northern America",1,NA
"P. ramorum","Arctostaphylos pumila","Northern America",1,NA
"P. ramorum","Arctostaphylos silvicola","Northern America",1,NA
"P. ramorum","Arctostaphylos viridissima","Northern America",1,NA
"P. ramorum","Berberis aquifolium","Northern America",1,NA
"P. ramorum","Calluna vulgaris","Europe",2,NA
"P. ramorum","Camellia japonica","Europe",6,NA
"P. ramorum","Camellia japonica","Northern America",6,NA
"P. ramorum","Camellia sasanqua","Northern America",5,NA
"P. ramorum","Camellia sinensis","Northern America",2,NA
"P. ramorum","Castanea sativa","Europe",5,NA
"P. ramorum","Chrysolepis chrysophylla","Northern America",1,NA
"P. ramorum","Cinnamomum camphora","Northern America",2,NA
"P. ramorum","Corylus cornuta","Northern America",2,NA
"P. ramorum","Fagus grandiflora","Europe",1,NA
"P. ramorum","Fagus grandiflora",NA,1,NA
"P. ramorum","Fagus sylvatica","Europe",7,"Yes"
"P. ramorum","Frangula californica","Northern America",4,NA
"P. ramorum","Frangula purshiana","Northern America",11,NA
"P. ramorum","Fuchsia excorticata","Northern America",1,NA
"P. ramorum","Gaultheria procumbens","Northern America",2,NA
"P. ramorum","Gaultheria shallon","Australasia",1,NA
"P. ramorum","Gaultheria shallon","Northern America",2,NA
"P. ramorum","Gaylussacia baccata","Northern America",1,NA
"P. ramorum","Larix kaempferi","Asia-Temperate",1,"Yes"
"P. ramorum","Larix kaempferi","Europe",14,"Yes"
"P. ramorum","Leptospermum scoparium","Northern America",1,NA
"P. ramorum","Lonicera hispidula","Northern America",4,NA
"P. ramorum","Lophostemon confertus","Northern America",1,NA
"P. ramorum","Loropetalum chinense","Northern America",3,NA
"P. ramorum","Lysimachia latifolia","Northern America",7,NA
"P. ramorum","Magnolia maudiae",NA,1,NA
"P. ramorum","Maianthemum racemosum","Northern America",3,NA
"P. ramorum","Neopanax arboreus","Northern America",1,NA
"P. ramorum","Nothofagus fusca","Northern America",1,NA
"P. ramorum","Notholithocarpus densiflorus","Northern America",56,NA
"P. ramorum","Osmanthus fragrans","Northern America",2,NA
"P. ramorum","Osmanthus heterophyllus","Northern America",2,NA
"P. ramorum","Osmanthus heterophyllus",NA,1,NA
"P. ramorum","Photinia arbutifolia","Northern America",4,NA
"P. ramorum","Photinia × fraseri","Europe",2,NA
"P. ramorum","Picea sitchensis","Europe",3,"Yes"
"P. ramorum","Pieris japonica","Europe",8,"Yes"
"P. ramorum","Pieris japonica","Northern America",5,"Yes"
"P. ramorum","Pinus radiata","Northern America",1,NA
"P. ramorum","Pittosporum undulatum",NA,1,NA
"P. ramorum","Prunus laurocerasus","Northern America",1,NA
"P. ramorum","Prunus lusitanica","Europe",2,NA
"P. ramorum","Prunus lusitanica","Northern America",2,NA
"P. ramorum","Pseudotsuga menziesii","Northern America",6,NA
"P. ramorum","Quercus agrifolia","Northern America",116,NA
"P. ramorum","Quercus chrysolepis","Northern America",13,NA
"P. ramorum","Quercus kelloggii","Northern America",40,NA
"P. ramorum","Quercus parvula","Northern America",4,NA
"P. ramorum","Quercus robur","Europe",2,NA
"P. ramorum","Quercus rubra","Europe",6,NA
"P. ramorum","Quercus wislizeni","Northern America",1,NA
"P. ramorum","Rhamnus cathartica","Northern America",2,NA
"P. ramorum","Rhododendron catawbiense","Europe",25,NA
"P. ramorum","Rhododendron catawbiense","Northern America",4,NA
"P. ramorum","Rhododendron forrestii","Europe",2,NA
"P. ramorum","Rhododendron hirsutum","Europe",5,NA
"P. ramorum","Rhododendron impeditum","Europe",4,NA
"P. ramorum","Rhododendron macrophyllum","Northern America",3,NA
"P. ramorum","Rhododendron ponticum","Europe",15,"Yes"
"P. ramorum","Rhododendron wardii","Europe",2,NA
"P. ramorum","Rhododendron yakushimanum","Europe",7,NA
"P. ramorum","Rosa californica","Northern America",1,NA
"P. ramorum","Rosa gymnocarpa","Northern America",5,NA
"P. ramorum","Rubus spectabilis","Northern America",1,NA
"P. ramorum","Sequoia sempervirens","Northern America",11,NA
"P. ramorum","Toxicodendron diversilobum","Northern America",1,NA
"P. ramorum","Umbellularia californica","Europe",1,NA
"P. ramorum","Umbellularia californica","Northern America",213,NA
"P. ramorum","Vaccinium myrtillus","Europe",6,"Yes"
"P. ramorum","Vaccinium ovatum","Northern America",14,NA
"P. ramorum","Vaccinium parvifolium","Northern America",2,NA
"P. ramorum","Viburnum davidi","Europe",3,NA
"P. ramorum","Viburnum farreri","Europe",8,NA
"P. ramorum","Viburnum plicatum","Europe",3,"Yes"
"P. ramorum","Viburnum plicatum","Northern America",4,"Yes"
"P. ramorum","Viburnum tinus","Australasia",1,"Yes"
"P. ramorum","Viburnum tinus","Europe",27,"Yes"
"P. ramorum","Viburnum tinus","Northern America",2,"Yes"
"P. ramorum","Viburnum × bodnantense","Europe",19,"Yes"
"P. ramorum","Viburnum × bodnantense","Northern America",4,"Yes"
"P. ramorum","Viburnum × bodnantense",NA,1,"Yes"
"P. ramorum","Vinca minor","Northern America",1,NA
