"Genus","Phytophthora","Eng_wEnv","Eng_trade","Wal_wEnv","Wal_trade","Scot_wEnv","Scot_trade","N.I_wEnv","N.I_trade","unknown_wEnv","unknown_trade","UK_total","Eng_total","Wal_total","Scot_total","N.I_total"
"Alnus","P. × multiformis",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
"Alnus","P. alni",8,0,1,0,1,0,0,0,3,0,42,16,1,3,0
"Alnus","P. cinnamomi",1,1,0,0,0,0,0,0,0,0,4,2,0,0,0
"Alnus","P. plurivora",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Alnus","P. siskiyouensis",0,0,0,0,0,0,0,0,0,0,14,10,0,0,0
"Alnus","P. syringae",0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
"Alnus","P. uniformis",1,0,0,1,0,0,0,0,0,0,2,1,1,0,0
"Alnus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juniperus","P. × cambivora",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. austrocedri",107,42,3,3,311,10,0,0,5,0,526,162,9,331,0
"Juniperus","P. cactorum",2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Juniperus","P. castanetorum",0,2,0,1,0,3,0,0,0,0,6,2,1,3,0
"Juniperus","P. cinnamomi",1,2,0,0,0,1,0,0,0,0,6,3,0,1,0
"Juniperus","P. citrophthora",0,2,0,0,0,1,0,0,0,0,3,2,0,1,0
"Juniperus","P. cryptogea",1,1,0,0,0,0,0,0,0,0,4,2,0,0,0
"Juniperus","P. foliorum",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. gonapodyides",1,11,0,1,0,9,0,0,0,0,22,12,1,9,0
"Juniperus","P. hibernalis",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"Juniperus","P. idaei",0,0,0,0,0,3,0,0,0,0,3,0,0,3,0
"Juniperus","P. lacustris",0,0,0,0,0,4,0,0,0,0,4,0,0,4,0
"Juniperus","P. lateralis",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. megasperma",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. obscura",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. pachypleura",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. plurivora",3,2,0,0,0,1,0,0,0,0,8,5,0,1,0
"Juniperus","P. primulae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. pseudocryptogea",0,3,0,0,0,2,0,0,0,0,5,3,0,2,0
"Juniperus","P. pseudotsugae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. psychrophila",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. quercina",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. syringae",0,3,0,0,0,5,0,0,0,0,8,3,0,5,0
"Juniperus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larix","P. cactorum",0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"Larix","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Larix","P. plurivora",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Larix","P. pseudosyringae",0,0,0,0,3,0,0,0,0,0,3,0,0,3,0
"Larix","P. ramorum",860,0,1,0,3186,0,0,0,0,0,4061,862,1,3188,4
"Larix","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nothofagus","P. × cambivora",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nothofagus","P. plurivora",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nothofagus","P. pseudosyringae",0,0,0,0,2,0,0,0,1,0,25,2,0,2,0
"Nothofagus","P. ramorum",1,0,0,0,0,0,0,0,0,0,5,2,0,1,0
"Nothofagus","P. syringae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nothofagus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus","P. × cambivora",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Pinus","P. cactorum",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Pinus","P. chlamydospora",1,1,0,0,0,0,0,0,0,0,2,2,0,0,0
"Pinus","P. cinnamomi",0,1,0,0,0,1,0,0,0,0,5,1,0,1,0
"Pinus","P. cryptogea",0,3,0,3,0,1,0,0,0,0,7,3,3,1,0
"Pinus","P. foliorum",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pinus","P. hibernalis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus","P. idaei",0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
"Pinus","P. kelmanii",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Pinus","P. macrochlamydospora",0,3,0,0,0,2,0,0,0,0,5,3,0,2,0
"Pinus","P. megasperma",0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
"Pinus","P. obscura",0,2,0,0,0,0,0,0,0,0,2,2,0,0,0
"Pinus","P. plurivora",1,1,0,0,0,1,0,0,0,0,4,2,0,1,0
"Pinus","P. pseudocryptogea",0,4,0,3,0,1,0,0,0,0,8,4,3,1,0
"Pinus","P. pseudotsugae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus","P. ramorum",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus","P. syringae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus","P. uniformis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus","P. cinnamomi",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Populus","P. idaei",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Populus","P. lacustris",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Populus","P. megasperma",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Populus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudotsuga","P. bilorbang",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pseudotsuga","P. cinnamomi",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pseudotsuga","P. citricola",0,0,0,1,0,2,0,0,0,0,3,0,1,2,0
"Pseudotsuga","P. cryptogea",0,1,0,1,0,2,0,0,0,0,4,1,1,2,0
"Pseudotsuga","P. foliorum",0,1,0,1,0,1,0,0,0,0,3,1,1,1,0
"Pseudotsuga","P. gonapodyides",0,0,0,1,0,1,0,0,0,0,2,0,1,1,0
"Pseudotsuga","P. kelmanii",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Pseudotsuga","P. lacustris",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pseudotsuga","P. marrasii",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pseudotsuga","P. megasperma",0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
"Pseudotsuga","P. nicotianae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pseudotsuga","P. obscura",0,1,0,1,0,1,0,0,0,0,3,1,1,1,0
"Pseudotsuga","P. plurivora",0,1,0,1,0,4,0,0,0,0,6,1,1,4,0
"Pseudotsuga","P. pluvialis",0,0,0,0,2,0,0,0,1,0,3,0,0,2,0
"Pseudotsuga","P. pseudocryptogea",0,1,0,1,0,2,0,0,0,0,4,1,1,2,0
"Pseudotsuga","P. pseudotsugae",0,1,0,0,0,4,0,0,0,0,5,1,0,4,0
"Pseudotsuga","P. syringae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pseudotsuga","P. uliginosa",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Pseudotsuga","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus","P. × cambivora",0,3,0,0,0,0,0,0,0,0,7,5,0,0,0
"Quercus","P. cactorum",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Quercus","P. castanetorum",0,3,0,1,0,5,0,0,0,0,9,3,1,5,0
"Quercus","P. cinnamomi",1,1,0,0,0,0,0,0,0,0,5,4,0,0,0
"Quercus","P. citrophthora",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Quercus","P. cryptogea",2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Quercus","P. foliorum",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus","P. gonapodyides",1,0,0,0,0,3,0,0,0,0,6,1,0,3,0
"Quercus","P. inundata",0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
"Quercus","P. kernoviae",4,0,0,0,0,0,0,0,0,0,4,4,0,0,0
"Quercus","P. nicotianae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus","P. obscura",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Quercus","P. palmivora",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Quercus","P. plurivora",1,0,0,0,0,2,0,0,0,0,7,1,0,4,0
"Quercus","P. pseudosyringae",0,0,0,0,0,0,0,0,0,0,6,0,0,6,0
"Quercus","P. psychrophila",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Quercus","P. quercina",1,0,0,0,0,0,0,0,0,0,4,1,0,1,0
"Quercus","P. ramorum",37,20,6,0,0,0,0,0,0,0,80,60,6,0,0
"Quercus","P. syringae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhododendron","P. × cambivora",1,2,0,0,0,3,0,0,0,1,7,3,0,3,0
"Rhododendron","P. cactorum",24,3,8,0,0,0,0,0,1,0,42,30,8,0,0
"Rhododendron","P. chlamydospora",2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Rhododendron","P. cinnamomi",14,3,0,0,0,3,0,0,0,0,26,17,0,3,0
"Rhododendron","P. citricola",17,8,4,1,0,0,0,0,0,0,33,27,5,0,0
"Rhododendron","P. citrophthora",3,1,3,0,0,0,0,0,0,0,9,6,3,0,0
"Rhododendron","P. cryptogea",7,1,0,0,1,1,0,0,0,0,12,8,0,2,0
"Rhododendron","P. foliorum",0,0,0,0,1,1,0,0,0,0,7,0,0,4,0
"Rhododendron","P. gonapodyides",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"Rhododendron","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rhododendron","P. hibernalis",10,8,0,0,0,1,0,0,0,0,20,19,0,1,0
"Rhododendron","P. ilicis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Rhododendron","P. kernoviae",414,26,93,0,5,1,0,0,0,0,555,442,93,6,0
"Rhododendron","P. lateralis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Rhododendron","P. megasperma",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Rhododendron","P. multivora",1,1,0,0,0,0,0,0,0,0,2,2,0,0,0
"Rhododendron","P. nicotianae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Rhododendron","P. pachypleura",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Rhododendron","P. plurivora",22,2,0,0,0,3,0,0,0,0,39,24,0,4,0
"Rhododendron","P. primulae",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Rhododendron","P. pseudocryptogea",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Rhododendron","P. pseudosyringae",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Rhododendron","P. ramorum",2866,909,441,17,330,16,0,0,4,1,4710,3864,467,348,1
"Rhododendron","P. rubi",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Rhododendron","P. syringae",30,19,1,0,2,3,0,0,0,1,67,52,1,6,0
"Rhododendron","P. uniformis",0,0,0,0,0,2,0,0,0,1,3,0,0,2,0
"Rhododendron","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tsuga","P. × cambivora",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga","P. cinnamomi",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Tsuga","P. cryptogea",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga","P. pluvialis",0,0,0,0,28,0,0,0,1,0,30,0,0,28,0
"Tsuga","P. pseudocryptogea",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga","P. ramorum",0,0,0,0,10,0,0,0,0,0,10,0,0,10,0
"Tsuga","P. uniformis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vaccinium","P. cactorum",1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Vaccinium","P. chlamydospora",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"Vaccinium","P. cinnamomi",1,4,0,0,0,1,0,0,0,0,6,5,0,1,0
"Vaccinium","P. citricola",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Vaccinium","P. citrophthora",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","P. cryptogea",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","P. gonapodyides",0,4,0,0,0,0,0,0,0,0,4,4,0,0,0
"Vaccinium","P. kernoviae",109,0,0,0,0,0,0,0,0,0,116,112,0,0,0
"Vaccinium","P. nicotianae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","P. plurivora",0,4,0,0,0,0,0,0,0,0,7,4,0,1,0
"Vaccinium","P. pseudocryptogea",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","P. pseudosyringae",29,1,18,0,0,0,0,0,0,0,55,30,18,0,0
"Vaccinium","P. psychrophila",0,3,0,0,0,0,0,0,0,0,3,3,0,0,0
"Vaccinium","P. ramorum",100,6,15,0,2,0,0,0,0,0,125,106,15,2,0
"Vaccinium","P. rubi",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","P. sojae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","P. syringae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Vaccinium","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
